ts;sensorid;series;mac;devicetype;label;intensity
2018-03-06 07:42:45.260624;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:42:47.586055;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-43
2018-03-06 07:42:52.20058;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:42:52.545967;bus_m1;43;2e:fd:c8:94:7d:a3;wifi;mobile;-73
2018-03-06 07:42:52.565267;bus_m1;43;2e:fd:c8:94:7d:a3;wifi;mobile;-77
2018-03-06 07:42:52.95541;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:42:52.955965;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:42:53.020661;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:42:53.747522;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:42:53.748133;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:42:54.461115;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-49
2018-03-06 07:42:55.172795;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:43:00.761403;bus_m1;43;e4:a4:71:86:bd:e3;wifi;mobile;-41
2018-03-06 07:43:01.78028;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-33
2018-03-06 07:43:02.358606;bus_m1;43;72:59:45:4f:a4:9f;wifi;mobile;-55
2018-03-06 07:43:04.549982;bus_m1;43;c2:c9:58:08:25:29;wifi;mobile;-81
2018-03-06 07:43:05.973926;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:43:05.976594;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:43:05.997823;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:43:09.443391;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:43:09.688194;bus_m1;43;52:ae:2b:da:d0:d4;wifi;mobile;-73
2018-03-06 07:43:12.059884;bus_m1;43;5c:af:06:61:89:9b;wifi;mobile;-47
2018-03-06 07:43:14.928902;bus_m1;43;ae:83:56:5e:70:59;wifi;mobile;-39
2018-03-06 07:43:17.353088;bus_m1;43;ae:83:56:5e:70:59;wifi;mobile;-47
2018-03-06 07:43:18.373731;bus_m1;43;56:a8:79:b8:77:05;wifi;mobile;-71
2018-03-06 07:43:24.343789;bus_m1;43;2a:e7:70:97:12:f0;wifi;mobile;-69
2018-03-06 07:43:26.988185;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:43:26.993511;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:43:26.998694;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:43:27.003948;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-37
2018-03-06 07:43:34.376656;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-41
2018-03-06 07:43:34.403324;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-41
2018-03-06 07:43:34.413302;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-41
2018-03-06 07:43:36.345048;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-25
2018-03-06 07:43:36.365401;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:43:40.00842;bus_m1;43;bc:76:5e:2f:8f:fb;wifi;mobile;-67
2018-03-06 07:43:43.860222;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-41
2018-03-06 07:43:43.870683;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-39
2018-03-06 07:43:46.300473;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:43:47.640706;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:43:47.642554;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:43:47.860098;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-43
2018-03-06 07:43:47.870528;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-41
2018-03-06 07:43:47.875925;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-43
2018-03-06 07:43:47.881117;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-53
2018-03-06 07:43:47.886305;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-43
2018-03-06 07:43:47.893215;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-43
2018-03-06 07:43:47.897508;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-43
2018-03-06 07:43:48.168535;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:43:48.170345;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:43:48.78943;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:43:48.791194;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:43:49.606713;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:43:49.608561;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-71
2018-03-06 07:43:50.716948;bus_m1;43;ac:bc:32:af:85:b5;wifi;mobile;-69
2018-03-06 07:43:50.728212;bus_m1;43;ac:bc:32:af:85:b5;wifi;mobile;-69
2018-03-06 07:43:50.774212;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:43:50.90691;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:43:50.910994;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:44:01.775284;bus_m1;43;da:a1:19:db:d5:c0;wifi;mobile;-61
2018-03-06 07:44:01.800295;bus_m1;43;da:a1:19:db:d5:c0;wifi;mobile;-59
2018-03-06 07:44:01.874395;bus_m1;43;da:a1:19:c9:b2:9d;wifi;mobile;-59
2018-03-06 07:44:03.311606;bus_m1;43;8e:bd:c7:8e:f4:32;wifi;mobile;-67
2018-03-06 07:44:06.790746;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-43
2018-03-06 07:44:06.840546;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-35
2018-03-06 07:44:06.966868;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:44:06.96923;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:44:06.97163;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:44:06.974395;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:44:06.990481;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:44:06.992979;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:44:06.995438;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:44:11.670526;bus_m1;43;ac:bc:32:af:85:b5;wifi;mobile;-83
2018-03-06 07:44:11.671859;bus_m1;43;ac:bc:32:af:85:b5;wifi;mobile;-85
2018-03-06 07:44:13.510119;bus_m1;43;7e:9a:25:67:ed:36;wifi;mobile;-67
2018-03-06 07:44:15.143196;bus_m1;43;5c:af:06:61:89:9b;wifi;mobile;-33
2018-03-06 07:44:24.480837;bus_m1;43;da:a1:19:b4:d4:e0;wifi;mobile;-59
2018-03-06 07:44:24.48809;bus_m1;43;da:a1:19:b4:d4:e0;wifi;mobile;-59
2018-03-06 07:44:25.630137;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:44:25.635409;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-37
2018-03-06 07:44:25.640595;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:44:25.64543;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:44:25.650683;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-37
2018-03-06 07:44:25.655402;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-37
2018-03-06 07:44:25.660586;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-35
2018-03-06 07:44:26.522611;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:44:26.523192;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:44:29.973448;bus_m1;43;da:a1:19:ed:0d:c1;wifi;mobile;-61
2018-03-06 07:44:30.047351;bus_m1;43;da:a1:19:93:b3:9e;wifi;mobile;-59
2018-03-06 07:44:30.04794;bus_m1;43;da:a1:19:93:b3:9e;wifi;mobile;-59
2018-03-06 07:44:30.907908;bus_m1;43;78:7b:8a:7c:78:6e;wifi;mobile;-75
2018-03-06 07:44:31.455204;bus_m1;43;3e:ab:32:8d:24:0f;wifi;mobile;-67
2018-03-06 07:44:36.344295;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:44:36.36464;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:44:38.108501;bus_m1;43;7e:4a:0d:7a:4e:60;wifi;mobile;-55
2018-03-06 07:44:38.128514;bus_m1;43;7e:4a:0d:7a:4e:60;wifi;mobile;-53
2018-03-06 07:44:42.15819;bus_m1;43;50:8c:b1:ca:87:93;wifi;mobile;-83
2018-03-06 07:44:42.164893;bus_m1;43;50:8c:b1:ca:87:93;wifi;mobile;-85
2018-03-06 07:44:50.961207;bus_m1;43;72:d4:02:b2:43:2b;wifi;mobile;-89
2018-03-06 07:44:50.979981;bus_m1;43;72:d4:02:b2:43:2b;wifi;mobile;-87
2018-03-06 07:44:50.986133;bus_m1;43;72:d4:02:b2:43:2b;wifi;mobile;-85
2018-03-06 07:44:52.864952;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:44:54.683733;bus_m1;43;be:51:d3:1f:87:04;wifi;mobile;-91
2018-03-06 07:44:59.230733;bus_m1;43;d6:24:b5:71:98:db;wifi;mobile;-65
2018-03-06 07:45:00.37264;bus_m1;43;4e:31:f3:33:4e:0a;wifi;mobile;-89
2018-03-06 07:45:06.969897;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:45:06.972031;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-25
2018-03-06 07:45:06.974082;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:45:06.976307;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:45:06.993249;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:45:09.339597;bus_m1;43;b0:e5:ed:a0:01:0f;wifi;mobile;-71
2018-03-06 07:45:10.125172;bus_m1;43;e2:88:f7:2d:32:ac;wifi;mobile;-91
2018-03-06 07:45:11.423684;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-37
2018-03-06 07:45:11.424258;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-37
2018-03-06 07:45:14.461989;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-31
2018-03-06 07:45:14.467027;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-31
2018-03-06 07:45:14.470259;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-31
2018-03-06 07:45:14.486021;bus_m1;43;48:db:50:35:d4:e7;wifi;mobile;-29
2018-03-06 07:45:17.807626;bus_m1;43;5c:af:06:61:89:9b;wifi;mobile;-45
